woodSlot0,woodSlot1,woodSlot2,claySlot0,claySlot1,claySlot2,stoneSlot0,stoneSlot1,stoneSlot2,goldSlot0,goldSlot1,goldSlot2,foodSlot0,foodSlot1,foodSlot2,tentSlot0,tentSlot1,tentSlot2,card1Slot0,card1Slot1,card1Slot2,card2Slot0,card2Slot1,card2Slot2,card3Slot0,card3Slot1,card3Slot2,card4Slot0,card4Slot1,card4Slot2,prodSlot0,prodSlot1,prodSlot2,wood0,wood1,wood2,clay0,clay1,clay2,stone0,stone1,stone2,gold0,gold1,gold2,food0,food1,food2,maxMeeples0,maxMeeples1,maxMeeples2,prod0,prod1,prod2,points0,points1,points2,card0resource0,card0resource1,card0resource2,card0resource3,card1resource0,card1resource1,card1resource2,card1resource3,card2resource0,card2resource1,card2resource2,card2resource3,card3resource0,card3resource1,card3resource2,card3resource3,height0,height1,height2,height3,moveSlot,moveAmount,fitness
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,2,0,1,0,1,1,0,1,2,1,0,0,2,0,0,1,4,4,4,4,card4,1,-1.6666666666666643
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,2,0,1,0,1,1,0,1,2,1,0,0,2,0,0,1,4,4,4,4,wood,4,-1.6666666666666643
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,3,0,0,0,5,5,5,0,0,0,-10,-10,-10,2,0,1,0,1,1,0,1,2,1,0,0,2,0,0,1,4,4,4,4,clay,4,-1.6666666666666643
0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,1,3,0,0,0,5,5,5,0,0,0,-10,-10,-10,2,0,1,0,1,1,0,1,2,1,0,0,2,0,0,1,4,4,4,4,card3,1,-1.6666666666666643
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,1,4,0,0,0,5,6,5,0,0,1,-10,-20,-20,2,0,1,0,1,1,0,1,0,2,1,0,2,0,0,1,4,4,3,4,gold,5,-1.6666666666666643
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,1,0,0,0,3,1,4,0,0,0,5,6,5,0,0,2,-20,-20,-30,2,0,1,0,1,1,0,1,0,2,1,0,2,0,0,1,4,4,3,4,prod,1,-1.6666666666666643
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,2,1,0,1,0,0,0,3,1,4,0,0,0,5,6,5,0,0,2,-20,-20,-30,2,0,1,0,1,1,0,1,0,2,1,0,2,0,0,1,4,4,3,4,food,3,-1.6666666666666643
0,0,2,0,0,0,0,0,0,0,5,0,3,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,2,1,0,1,0,0,0,3,1,4,0,0,0,5,6,5,0,0,2,-20,-20,-30,2,0,1,0,1,1,0,1,0,2,1,0,2,0,0,1,4,4,3,4,food,1,-1.6666666666666643
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,0,1,0,0,0,3,4,4,0,0,0,5,6,6,1,0,2,-20,-30,-40,2,0,1,0,1,1,0,1,0,2,1,0,2,0,0,1,4,4,3,4,prod,1,-1.6666666666666643
0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,2,3,1,0,1,0,0,0,3,4,4,0,0,0,5,6,6,1,0,2,-20,-30,-40,2,0,1,0,1,1,0,1,0,2,1,0,2,0,0,1,4,4,3,4,wood,2,-1.6666666666666643
2,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,2,3,1,0,1,0,0,0,3,4,4,0,0,0,5,6,6,1,0,2,-20,-30,-40,2,0,1,0,1,1,0,1,0,2,1,0,2,0,0,1,4,4,3,4,wood,2,-1.6666666666666643
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,6,1,1,0,3,0,1,0,3,4,4,0,0,0,5,6,6,2,0,2,-30,-40,-39,1,0,1,1,1,1,0,1,0,2,1,0,2,0,0,1,3,4,3,4,stone,2,-1.6666666666666643
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,5,6,1,1,0,3,0,1,0,3,4,4,0,0,0,5,6,6,2,0,2,-30,-40,-39,1,0,1,1,1,1,0,1,0,2,1,0,2,0,0,1,3,4,3,4,prod,1,-1.6666666666666643
0,4,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,5,6,1,1,0,3,0,1,0,3,4,4,0,0,0,5,6,6,2,0,2,-30,-40,-39,1,0,1,1,1,1,0,1,0,2,1,0,2,0,0,1,3,4,3,4,clay,1,-1.6666666666666643
0,4,0,1,0,1,2,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,5,6,1,1,0,3,0,1,0,3,4,4,0,0,0,5,6,6,2,0,2,-30,-40,-39,1,0,1,1,1,1,0,1,0,2,1,0,2,0,0,1,3,4,3,4,card3,1,-1.6666666666666643
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,3,0,0,3,3,3,3,0,0,0,5,6,6,3,0,2,-27,-36,-36,1,2,0,0,0,1,1,1,0,1,2,0,2,0,0,1,2,3,2,4,card2,1,-1.6666666666666643
0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,3,0,0,3,3,3,3,0,0,0,5,6,6,3,0,2,-27,-36,-36,1,2,0,0,0,1,1,1,0,1,2,0,2,0,0,1,2,3,2,4,card3,1,-1.6666666666666643
0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,5,9,0,0,0,3,0,0,3,3,3,3,0,0,0,5,6,6,3,0,2,-27,-36,-36,1,2,0,0,0,1,1,1,0,1,2,0,2,0,0,1,2,3,2,4,wood,2,-1.6666666666666643
2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,5,9,0,0,0,3,0,0,3,3,3,3,0,0,0,5,6,6,3,0,2,-27,-36,-36,1,2,0,0,0,1,1,1,0,1,2,0,2,0,0,1,2,3,2,4,stone,1,-1.6666666666666643
